fips5,year,ed_visits,ed_admissions,ed_total,ed_admit_rate,county_name_clean
06065,2017,801110.0,117048.0,918158.0,0.14610727615433586,RIVERSIDE
06067,2017,558204.0,81439.0,639643.0,0.14589469082987583,SACRAMENTO
06069,2017,18873.0,932.0,19805.0,0.04938271604938271,SAN BENITO
06071,2017,784586.0,118132.0,902718.0,0.15056603100233754,SAN BERNARDINO
06073,2017,879825.0,156952.0,1036777.0,0.17839002074276133,SAN DIEGO
06075,2017,251279.0,46870.0,298149.0,0.18652573434310069,SAN FRANCISCO
06077,2017,342004.0,41454.0,383458.0,0.12120910866539572,SAN JOAQUIN
06079,2017,98189.0,10516.0,108705.0,0.1070995732719551,SAN LUIS OBISPO
06081,2017,188536.0,24618.0,213154.0,0.13057453218483472,SAN MATEO
06083,2017,158281.0,18692.0,176973.0,0.11809376994080148,SANTA BARBARA
06085,2017,501262.0,84771.0,586033.0,0.1691151533529372,SANTA CLARA
06087,2017,73618.0,11251.0,84869.0,0.15282947105327502,SANTA CRUZ
06089,2017,86228.0,14942.0,101170.0,0.17328477988588395,SHASTA
06093,2017,20263.0,1531.0,21794.0,0.0755564329072694,SISKIYOU
06095,2017,195590.0,18561.0,214151.0,0.09489748964670995,SOLANO
06097,2017,160519.0,19400.0,179919.0,0.12085796696964222,SONOMA
06099,2017,244753.0,34418.0,279171.0,0.14062340400321957,STANISLAUS
06103,2017,28984.0,1805.0,30789.0,0.062275738338393595,TEHAMA
06105,2017,4543.0,352.0,4895.0,0.0774818401937046,TRINITY
06107,2017,129068.0,14479.0,143547.0,0.11218117581429944,TULARE
06109,2017,30950.0,3245.0,34195.0,0.10484652665589661,TUOLUMNE
06111,2017,235597.0,36051.0,271648.0,0.15301977529425248,VENTURA
06113,2017,49305.0,4635.0,53940.0,0.09400669303316093,YOLO
06115,2017,61857.0,8100.0,69957.0,0.13094718463553034,YUBA
06001,2018,566702.0,73500.0,640202.0,0.12969779531393924,ALAMEDA
06005,2018,20806.0,1926.0,22732.0,0.09256945111986926,AMADOR
06007,2018,101262.0,28152.0,129414.0,0.27801149493393373,BUTTE
