Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-09,Napa,Dual,"5,133",,,P,09DEC2025
2025-09,Napa,Non-Dual,"31,828",,,P,09DEC2025
2025-09,Nevada,Dual,"4,376",,,P,09DEC2025
2025-09,Nevada,Non-Dual,"25,230",,,P,09DEC2025
2025-09,Orange,Dual,"130,588",,,P,09DEC2025
2025-09,Orange,Non-Dual,"840,709",,,P,09DEC2025
2025-09,Placer,Dual,"10,572",,,P,09DEC2025
2025-09,Placer,Non-Dual,"71,144",,,P,09DEC2025
2025-09,Plumas,Dual,"1,097",,,P,09DEC2025
2025-09,Plumas,Non-Dual,"4,790",,,P,09DEC2025
2025-09,Riverside,Dual,"105,870",,,P,09DEC2025
2025-09,Riverside,Non-Dual,"901,838",,,P,09DEC2025
2025-09,STATEWIDE,STATEWIDE,"14,583,280",,Statewide Total by MOE,P,09DEC2025
2025-09,Sacramento,Dual,"77,389",,,P,09DEC2025
2025-09,Sacramento,Non-Dual,"568,416",,,P,09DEC2025
2025-09,San Benito,Dual,"2,090",,,P,09DEC2025
2025-09,San Benito,Non-Dual,"19,334",,,P,09DEC2025
2025-09,San Bernardino,Dual,"100,090",,,P,09DEC2025
2025-09,San Bernardino,Non-Dual,"863,628",,,P,09DEC2025
2025-09,San Diego,Dual,"127,404",,,P,09DEC2025
2025-09,San Diego,Non-Dual,"835,305",,,P,09DEC2025
2025-09,San Francisco,Dual,"56,296",,,P,09DEC2025
2025-09,San Francisco,Non-Dual,"200,604",,,P,09DEC2025
2025-09,San Joaquin,Dual,"34,547",,,P,09DEC2025
2025-09,San Joaquin,Non-Dual,"285,764",,,P,09DEC2025
2025-09,San Luis Obispo,Dual,"8,514",,,P,09DEC2025
2025-09,San Luis Obispo,Non-Dual,"59,177",,,P,09DEC2025
