fips5,year,new_providers,new_physicians,new_pcps,population,medi_cal_share,county_type,access_gap,high_mc,post_prop56,treat_x_post,new_providers_per100k,new_physicians_per100k,new_pcps_per100k,true_desert,desert_x_post,event_time
06103,2010,7,3,2,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,13.594661570610672,5.826283530261716,3.8841890201744773,0,0,-7
06103,2011,4,1,1,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,7.768378040348955,1.9420945100872387,1.9420945100872387,0,0,-6
06103,2012,2,0,0,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,3.8841890201744773,0.0,0.0,0,0,-5
06103,2013,7,4,4,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,13.594661570610672,7.768378040348955,7.768378040348955,0,0,-4
06103,2014,5,2,2,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,9.710472550436194,3.8841890201744773,3.8841890201744773,0,0,-3
06103,2015,30,13,7,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,58.26283530261716,25.247228631134103,13.594661570610672,0,0,-2
06103,2016,7,4,1,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,13.594661570610672,7.768378040348955,1.9420945100872387,0,0,-1
06103,2017,7,3,2,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,0,0,13.594661570610672,5.826283530261716,3.8841890201744773,0,0,0
06103,2018,20,3,2,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,1,1,38.841890201744775,5.826283530261716,3.8841890201744773,0,0,1
06103,2019,16,6,2,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,1,1,31.07351216139582,11.652567060523433,3.8841890201744773,0,0,2
06103,2020,13,1,0,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,1,1,25.247228631134103,1.9420945100872387,0.0,0,0,3
06103,2021,21,5,1,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,1,1,40.78398471183202,9.710472550436194,1.9420945100872387,0,0,4
06103,2022,16,3,0,51490.8,0.1500697845223576,Adequate,2.422897258199427,1,1,1,31.07351216139582,5.826283530261716,0.0,0,0,5
